plane,k,h,test_accuracy_mean,test_accuracy_std,test_accuracy_max,test_f1_mean,test_f1_std,test_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_max,training_time_mean,training_time_std,training_time_max,model_params,Computational_Efficiency,Parameter_Efficiency,AIC-ML
Sagittal,2,2,79.6,4.926121,85,0.770432,0.069496,0.854545,0.877575,0.042272,0.935367,0.028999,0.00301,0.032268,7,88.14182545,11371428.57,-2.73285538
Sagittal,4,2,80.2,4.341019,85,0.780273,0.069772,0.854545,0.871952,0.035929,0.92212,0.065706,0.013187,0.09014,11,74.31559832,7290909.091,-0.208046179
Sagittal,4,4,80.9,5.108816,89,0.790823,0.075926,0.884211,0.87546,0.039866,0.940185,0.067787,0.003124,0.073498,16,65.7483611,5056250,0.586320483
Sagittal,8,2,79.8,4.366539,86,0.774738,0.062477,0.854167,0.874818,0.035835,0.925657,0.130145,0.013792,0.154787,19,61.33601859,4200000,2.26195919
Sagittal,8,4,80.2,4.077036,86,0.782224,0.063825,0.851485,0.875504,0.039768,0.923636,0.200011,0.034852,0.288803,32,52.81479339,2506250,4.15399932
Sagittal,8,8,80.6,4.526465,86,0.783716,0.068571,0.862385,0.87471,0.038811,0.922424,0.252229,0.039049,0.339372,46,48.20292043,1752173.913,5.333790118
Sagittal,16,16,80.6,4.168666,85,0.780016,0.067786,0.842105,0.856734,0.050512,0.913565,0.857094,0.063109,0.964837,154,36.79807952,523376.6234,10.19683291
Sagittal,16,2,80.3,4.715224,86,0.781717,0.068127,0.875,0.874285,0.03538,0.920514,0.24574,0.027831,0.3172,35,51.59665294,2294285.714,4.742534828
Sagittal,16,4,80.8,4.685676,86,0.788576,0.067544,0.854167,0.878845,0.042209,0.940185,0.474706,0.111913,0.743683,64,44.56914596,1262500,7.25403338
Sagittal,16,8,79.4,4.087923,84,0.772608,0.062845,0.830189,0.875717,0.042816,0.928485,0.700286,0.064951,0.832111,110,38.82027476,721818.1818,9.149771455
